auprc,auroc,cell,context_kernel_norm,cross_variable_leakage,data_seed,f1,gate_mean,gate_std,identity_deviation,max_iter,mcc,method,mse,root,run_id,temporal_mass_median,train_seed,wall_seconds
0.5561067019400352,0.7430555555555557,NS+Nonlinear,,0.0,101,0.5,0.07317518442869186,,0.00292755919508636,2000,0.375,adaptive_fir,0.010539733804762363,gpu_d2_it2000_bounded,d2__NS_Nonlinear__adaptive_fir__ds101__ts0__it2000,0.019515803361878754,0,48.50979330006521
0.45823412698412697,0.7019230769230771,NS+Nonlinear,,0.0,102,0.25,0.07317755371332169,,0.004352991934865713,2000,0.1346153846153846,adaptive_fir,0.011578017845749855,gpu_d2_it2000_bounded,d2__NS_Nonlinear__adaptive_fir__ds102__ts0__it2000,0.01645607750283924,0,48.55078340007458
0.5032563019840497,0.75,NS+Nonlinear,,0.0,0,0.5,,,0.0,2000,0.3181818181818182,baseline,0.00934757199138403,gpu_d2_it2000_bounded,d2__NS_Nonlinear__baseline__ds0__ts0__it2000,0.0,0,22.035530900000595
0.6531635802469136,0.7430555555555557,NS+Nonlinear,,0.0,101,0.5,,,0.0,2000,0.375,baseline,0.010874115861952305,gpu_d2_it2000_bounded,d2__NS_Nonlinear__baseline__ds101__ts0__it2000,0.0,0,21.886228500050493
0.5772418478260869,0.6826923076923078,NS+Nonlinear,,0.0,102,0.5,,,0.0,2000,0.4230769230769231,baseline,0.012638550251722336,gpu_d2_it2000_bounded,d2__NS_Nonlinear__baseline__ds102__ts0__it2000,0.0,0,21.95883239991963
0.3253758491035968,0.6761363636363636,NS+Nonlinear,,0.0,0,0.375,,,0.0065759154967963696,2000,0.14772727272727273,fixed_fir3,0.009932690300047398,gpu_d2_it2000_bounded,d2__NS_Nonlinear__fixed_fir3__ds0__ts0__it2000,0.028579763999119837,0,27.04099969996605
0.5142790688843321,0.7430555555555556,NS+Nonlinear,,0.0,101,0.6666666666666666,,,0.006551112048327923,2000,0.5833333333333334,fixed_fir3,0.01023941207677126,gpu_d2_it2000_bounded,d2__NS_Nonlinear__fixed_fir3__ds101__ts0__it2000,0.026504085769091613,0,27.015285599976778
0.6062400318979266,0.778846153846154,NS+Nonlinear,,0.0,102,0.5,,,0.006594980135560036,2000,0.4230769230769231,fixed_fir3,0.013130605220794678,gpu_d2_it2000_bounded,d2__NS_Nonlinear__fixed_fir3__ds102__ts0__it2000,0.030924849891536328,0,27.018665999989025
0.507457160894661,0.7159090909090909,Stat+Nonlinear,,0.0,0,0.5,0.08696532994508743,,0.007575951050966978,2000,0.3181818181818182,adaptive_fir,0.009958164766430855,gpu_d2_it2000_bounded,d2__Stat_Nonlinear__adaptive_fir__ds0__ts0__it2000,0.03115183514914716,0,48.58543129998725
0.5586290071584188,0.7708333333333333,Stat+Nonlinear,,0.0,101,0.5,0.06862841546535492,,0.001986732939258218,2000,0.375,adaptive_fir,0.010973810218274593,gpu_d2_it2000_bounded,d2__Stat_Nonlinear__adaptive_fir__ds101__ts0__it2000,0.015321728541865504,0,47.84822289994918
